,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence
37,x2,Lil Uzi Vert,234324,"hip hop, melodic rap, philly rap, rage rap, rap",148.054,-4.639,0.891,0.64,10,0.0,0.449
38,Died and Came Back,Lil Uzi Vert,180636,"hip hop, melodic rap, philly rap, rage rap, rap",132.098,-5.079,0.669,0.674,1,0.0,0.431
39,Spin Again,Lil Uzi Vert,97769,"hip hop, melodic rap, philly rap, rage rap, rap",140.023,-4.252,0.606,0.619,1,0.0,0.0669
40,That Fiya,Lil Uzi Vert,154832,"hip hop, melodic rap, philly rap, rage rap, rap",138.124,-4.012,0.712,0.565,3,0.0,0.22
41,I Gotta,Lil Uzi Vert,173025,"hip hop, melodic rap, philly rap, rage rap, rap",129.057,-7.05,0.51,0.818,2,0.0,0.416
42,Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,216703,"hip hop, melodic rap, philly rap, rage rap, rap",132.946,-5.01,0.605,0.731,1,7.7e-06,0.413
43,"Mama, I’m Sorry",Lil Uzi Vert,210961,"hip hop, melodic rap, philly rap, rage rap, rap",128.177,-4.943,0.594,0.783,4,0.0,0.596
44,All Alone,Lil Uzi Vert,222618,"hip hop, melodic rap, philly rap, rage rap, rap",138.104,-6.087,0.693,0.752,6,0.0,0.473
45,Nakamura,Lil Uzi Vert,197900,"hip hop, melodic rap, philly rap, rage rap, rap",160.008,-3.707,0.876,0.52,5,0.0,0.38
46,Just Wanna Rock,Lil Uzi Vert,123890,"hip hop, melodic rap, philly rap, rage rap, rap",150.185,-7.924,0.545,0.485,11,0.00547,0.0385
47,Fire Alarm (feat. Snow Strippers),Lil Uzi Vert,185167,"hip hop, melodic rap, philly rap, rage rap, rap",130.996,-3.953,0.772,0.603,8,0.000141,0.0632
48,CS,Lil Uzi Vert,212040,"hip hop, melodic rap, philly rap, rage rap, rap",127.907,-5.914,0.758,0.418,3,0.00107,0.202
49,Werewolf (feat. Bring Me The Horizon),Lil Uzi Vert,239863,"hip hop, melodic rap, philly rap, rage rap, rap",183.049,-4.772,0.962,0.389,2,0.623,0.155
50,Pluto to Mars,Lil Uzi Vert,246497,"hip hop, melodic rap, philly rap, rage rap, rap",122.963,-6.829,0.627,0.807,11,0.0,0.761
51,Patience (feat. Don Toliver),Lil Uzi Vert,262429,"hip hop, melodic rap, philly rap, rage rap, rap",143.905,-3.146,0.64,0.706,4,0.0,0.184
52,Days Come and Go,Lil Uzi Vert,257673,"hip hop, melodic rap, philly rap, rage rap, rap",76.209,-3.905,0.735,0.529,9,0.0,0.617
53,Rehab,Lil Uzi Vert,245070,"hip hop, melodic rap, philly rap, rage rap, rap",141.963,-5.695,0.598,0.63,8,1.95e-06,0.488
54,The End (feat. BABYMETAL),Lil Uzi Vert,187244,"hip hop, melodic rap, philly rap, rage rap, rap",109.973,-4.547,0.954,0.522,1,0.676,0.239
55,Zoom (Bonus Track),Lil Uzi Vert,166012,"hip hop, melodic rap, philly rap, rage rap, rap",79.483,-5.868,0.547,0.818,5,1.3e-06,0.432
56,Of Course (Bonus Track),Lil Uzi Vert,208966,"hip hop, melodic rap, philly rap, rage rap, rap",147.003,-4.049,0.829,0.686,8,0.0,0.562
57,Shardai (Bonus Track),Lil Uzi Vert,201344,"hip hop, melodic rap, philly rap, rage rap, rap",148.935,-5.465,0.673,0.679,1,0.0,0.086
58,Le isole dell'amore,Piero Umiliani,149536,vintage italian soundtrack,119.404,-11.12,0.324,0.267,3,0.851,0.463
59,Tamourè - Titoli,Piero Umiliani,136465,vintage italian soundtrack,136.973,-11.594,0.652,0.554,5,0.00688,0.802
60,Palme e cocci,Piero Umiliani,104945,vintage italian soundtrack,114.031,-15.179,0.346,0.649,7,0.447,0.824
61,Il tamourè dei bambini,Piero Umiliani,77949,vintage italian soundtrack,176.989,-17.05,0.34,0.651,3,0.943,0.971
62,Papete aru,Piero Umiliani,63599,vintage italian soundtrack,68.418,-28.872,0.0311,0.383,3,0.738,0.633
63,Vele al vento - Titoli,Piero Umiliani,108135,vintage italian soundtrack,68.661,-11.73,0.471,0.358,3,0.0362,0.844
64,Isola sperduta - Titoli,Piero Umiliani,161100,vintage italian soundtrack,97.444,-18.956,0.155,0.545,7,0.616,0.341
65,Jumb tamourè,Piero Umiliani,100345,vintage italian soundtrack,179.482,-11.288,0.748,0.556,7,0.000125,0.845
66,Nuku - Titoli,Piero Umiliani,124785,vintage italian soundtrack,117.428,-15.041,0.245,0.402,3,0.67,0.386
67,Isola tuttofare,Piero Umiliani,101471,vintage italian soundtrack,119.454,-17.506,0.405,0.617,8,0.0401,0.883
68,La capanna nel bosco,Piero Umiliani,117439,vintage italian soundtrack,88.521,-21.903,0.0775,0.439,9,0.673,0.467
69,Tamoure finale - Titoli,Piero Umiliani,70479,vintage italian soundtrack,135.756,-13.553,0.775,0.555,5,0.749,0.971
70,Arrivo a Papete - Titoli,Piero Umiliani,78052,vintage italian soundtrack,105.826,-15.002,0.609,0.274,7,0.91,0.866
71,Lotta di galli,Piero Umiliani,90023,vintage italian soundtrack,158.693,-16.511,0.441,0.317,2,0.823,0.911
72,Comunità hippy - Titoli,Piero Umiliani,141652,vintage italian soundtrack,116.1,-18.848,0.351,0.48,7,0.768,0.803
73,La danza del turista - Titoli,Piero Umiliani,58096,vintage italian soundtrack,87.244,-12.391,0.763,0.622,0,0.765,0.978
74,Le isole dell'amore - Finale,Piero Umiliani,195385,vintage italian soundtrack,60.655,-13.4,0.336,0.205,3,0.853,0.473
75,Corale isole - Tema,Piero Umiliani,69032,vintage italian soundtrack,66.555,-27.232,0.000258,0.225,3,0.79,0.865
76,SPACE BOY,dave rodgers,296466,super eurobeat,155.08,-5.547,0.966,0.465,5,0.000125,0.628
77,NO ONE SLEEP IN TOKYO,EDO BOYS,302033,"eurobeat, super eurobeat",154.994,-3.639,0.956,0.499,9,2.57e-06,0.636
78,BE MY BABE,Jilly,285400,super eurobeat,154.024,-4.111,0.902,0.536,1,0.000882,0.625
79,REMEMBERME,Leslie Parrish,282933,"eurobeat, super eurobeat",153.739,-4.093,0.988,0.54,5,0.0114,0.722
80,SPARK IN THE DARK,MAN POWER,279300,super eurobeat,155.089,-4.148,0.953,0.518,9,0.131,0.736
81,DON'T STOP THE MUSIC,Lou Grant,288100,super eurobeat,159.929,-4.352,0.954,0.609,1,8.29e-06,0.757
82,DANCE AROUND THE WORLD,Delta Queens,297833,super eurobeat,154.679,-5.556,0.966,0.497,1,0.000508,0.476
83,GET ME POWER,MEGA NRG MAN,284666,"eurobeat, super eurobeat",155.061,-5.014,0.974,0.506,4,2.92e-06,0.87
84,RUNNING IN THE 90'S,Max Coveri,283833,"eurobeat, super eurobeat",158.517,-5.484,0.931,0.541,1,0.0127,0.86
85,HEARTBEAT,Nathalie,301366,super eurobeat,155.016,-5.109,0.948,0.503,0,0.00151,0.695
86,BREAK THE NIGHT,Tommy K,290666,super eurobeat,156.007,-3.365,0.955,0.487,10,0.000343,0.736
87,BACK ON THE ROCKS,MEGA NRG MAN,288000,"eurobeat, super eurobeat",156.047,-3.316,0.995,0.477,0,0.00477,0.587
88,SAVE ME,Leslie Parrish,272800,"eurobeat, super eurobeat",155.747,-3.941,0.96,0.455,7,0.00198,0.604
89,MY ONLY STAR,Susan Bell,284933,super eurobeat,155.034,-5.131,0.884,0.492,4,2.1e-06,0.676
90,around the world - Dave Rodgers Remix,m.o.v.e,274666,"classic j-pop, eurobeat, super eurobeat",138.071,-4.099,0.938,0.624,0,0.0,0.656
91,Start,Frank Ocean,45640,"lgbtq+ hip hop, neo soul",82.85,-19.761,0.33,0.347,7,0.931,0.0316
92,Thinkin Bout You,Frank Ocean,200746,"lgbtq+ hip hop, neo soul",129.83,-11.195,0.339,0.721,0,0.00153,0.2
93,Fertilizer,Frank Ocean,39640,"lgbtq+ hip hop, neo soul",115.864,-7.129,0.57,0.706,11,0.0698,0.96
94,Sierra Leone,Frank Ocean,148760,"lgbtq+ hip hop, neo soul",125.017,-7.809,0.608,0.529,7,0.0185,0.616
95,Sweet Life,Frank Ocean,262680,"lgbtq+ hip hop, neo soul",83.465,-6.074,0.558,0.479,11,0.0,0.8
96,Not Just Money,Frank Ocean,59760,"lgbtq+ hip hop, neo soul",152.13,-15.868,0.827,0.357,11,0.0213,0.103
97,Super Rich Kids,Frank Ocean,304760,"lgbtq+ hip hop, neo soul",60.493,-8.241,0.419,0.739,3,0.0,0.58
98,Pilot Jones,Frank Ocean,184080,"lgbtq+ hip hop, neo soul",118.988,-13.473,0.433,0.394,8,7.81e-05,0.394
99,Crack Rock,Frank Ocean,224146,"lgbtq+ hip hop, neo soul",89.262,-8.017,0.736,0.429,5,0.0,0.379
